Question,CORRECT ANSWER,WRONG 1,WRONG 2,WRONG 3,,,,,,
"When the client boards the bus, what is the appropriate greeting?",Greet the client warmly and ask if they need assistance,Greet the client and tell them to move quickly,Ignore them unless they speak first,Ask if they have exact fare,,,,,,
What are the correct instructions to give the client about where to go?,Direct them to the designated securement area and offer assistance,Let them choose any seat they like,Ask them to sit near the front regardless of space,Tell them to wait while you finish your route,,,,,,
How should you ask if the client needs assistance with securement?,"Politely ask, ""Would you like assistance with securing your mobility device?""","Tell them, ""I have to secure you""","Say, ""You’re probably fine without it, right?""",Secure them without asking,,,,,,
"After securement, what should you tell the client about disembarking?",Inform them to signal when they want to get off and that you’ll assist them,Ask them to yell when it’s their stop,Tell them to wait until the route ends,Assume they know what to do,,,,,,
How should you respond when the client signals they’re ready to disembark?,"Acknowledge them, prepare the ramp, and assist with unloading","Finish your conversation first, then help",Ignore the signal until the stop,Tell them to wait for another stop,,,,,,
What should you do before helping the client off the bus?,Confirm they’re ready and deploy the ramp or lift,Tell them to hurry,Ask them to try exiting themselves first,Wait until other passengers are off,,,,,,
How should you assist a client with disembarking safely?,"Unlock all securements, guide them to the ramp, and help them exit",Push their wheelchair off quickly,Let another passenger assist,Wait inside while they exit,,,,,,
What is the proper farewell after helping a client off the bus?,Thank them for riding and wish them a good day,Say nothing and close the door,Remind them to be quick next time,Ask them if they have feedback,,,,,,
What should you do if the client declines securement assistance?,Respect their decision but inform them of the risks,Insist that you must secure them,Report them to dispatch immediately,Ignore them and continue driving,,,,,,
